
may. 16, 2018 17:55:25.11 NEW SESSION
may. 16, 2018 17:55:25.11 [13532:17644:0516/175525.116:ERROR:in_progress_cache_impl.cc(93)] Could not read download entries from file because there was a read failure.
may. 16, 2018 17:55:25.14 [13532:7468:0516/175525.139:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
may. 16, 2018 17:55:25.20 [13532:7468:0516/175525.139:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
may. 16, 2018 17:55:25.32 [13532:7468:0516/175525.139:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
may. 16, 2018 17:55:25.36 [13532:7468:0516/175525.139:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
may. 16, 2018 17:55:25.37 [13532:7468:0516/175525.139:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
may. 16, 2018 17:55:25.42 [13532:7468:0516/175525.139:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
may. 16, 2018 17:55:25.44 [13532:7468:0516/175525.139:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
may. 16, 2018 17:55:25.45 [13532:7468:0516/175525.139:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
may. 16, 2018 17:55:25.46 [13532:7468:0516/175525.139:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
may. 16, 2018 17:55:25.48 [13532:7468:0516/175525.140:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
may. 16, 2018 17:55:25.50 [13532:7468:0516/175525.140:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
may. 16, 2018 17:55:25.52 [13532:7468:0516/175525.140:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
may. 16, 2018 17:55:25.55 [13532:7468:0516/175525.140:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
may. 16, 2018 17:55:25.58 [13532:7468:0516/175525.140:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
may. 16, 2018 17:55:25.59 [13532:7468:0516/175525.140:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
may. 16, 2018 17:55:25.60 [13532:7468:0516/175525.140:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
may. 16, 2018 17:55:25.61 [13532:7468:0516/175525.140:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
may. 16, 2018 17:55:25.62 [13532:7468:0516/175525.140:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
may. 16, 2018 17:55:25.63 [13532:7468:0516/175525.140:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
may. 16, 2018 17:55:25.63 [13532:7468:0516/175525.140:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
may. 16, 2018 17:55:25.64 [13532:7468:0516/175525.140:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
may. 16, 2018 17:55:25.65 [13532:7468:0516/175525.140:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
may. 16, 2018 17:55:25.66 [13532:7468:0516/175525.140:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
may. 16, 2018 17:55:25.68 [13532:7468:0516/175525.140:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
may. 16, 2018 17:55:25.71 [13532:7468:0516/175525.140:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
may. 16, 2018 17:55:25.72 [13532:7468:0516/175525.140:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
may. 16, 2018 17:55:25.73 [13532:7468:0516/175525.140:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
may. 16, 2018 17:55:25.74 [13532:7468:0516/175525.141:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
may. 16, 2018 17:55:25.75 [13532:7468:0516/175525.141:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
may. 16, 2018 17:55:25.76 [13532:7468:0516/175525.141:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.

may. 18, 2018 09:16:43.56 NEW SESSION
may. 18, 2018 09:16:43.56 [10324:11456:0518/091643.561:ERROR:in_progress_cache_impl.cc(93)] Could not read download entries from file because there was a read failure.
may. 18, 2018 09:16:43.66 [10324:1028:0518/091643.665:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
may. 18, 2018 09:16:43.71 [10324:1028:0518/091643.667:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
may. 18, 2018 09:16:43.72 [10324:1028:0518/091643.667:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
may. 18, 2018 09:16:43.73 [10324:1028:0518/091643.667:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
may. 18, 2018 09:16:43.82 [10324:1028:0518/091643.667:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
may. 18, 2018 09:16:43.86 [10324:1028:0518/091643.667:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
may. 18, 2018 09:16:43.89 [10324:1028:0518/091643.667:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
may. 18, 2018 09:16:43.93 [10324:1028:0518/091643.667:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
may. 18, 2018 09:16:43.95 [10324:1028:0518/091643.667:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
may. 18, 2018 09:16:43.96 [10324:1028:0518/091643.667:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
may. 18, 2018 09:16:43.97 [10324:1028:0518/091643.667:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
may. 18, 2018 09:16:43.98 [10324:1028:0518/091643.667:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
may. 18, 2018 09:16:43.99 [10324:1028:0518/091643.667:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
may. 18, 2018 09:16:44.00 [10324:1028:0518/091643.667:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
may. 18, 2018 09:16:44.01 [10324:1028:0518/091643.667:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
may. 18, 2018 09:16:44.01 [10324:1028:0518/091643.667:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
may. 18, 2018 09:16:44.02 [10324:1028:0518/091643.667:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
