127.0.0.1 - - [16/May/2018:17:55:14 -0500] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [16/May/2018:17:55:16 -0500] "GET /AvanceWeb/registraComputadora.jsp HTTP/1.1" 200 4472
0:0:0:0:0:0:0:1 - - [16/May/2018:17:55:16 -0500] "GET /AvanceWeb/js/jquery.min.js HTTP/1.1" 200 293650
0:0:0:0:0:0:0:1 - - [16/May/2018:17:55:16 -0500] "GET /AvanceWeb/css/bootstrap.css HTTP/1.1" 200 121260
0:0:0:0:0:0:0:1 - - [16/May/2018:17:55:16 -0500] "GET /AvanceWeb/js/jquery.dataTables.min.js HTTP/1.1" 200 82628
0:0:0:0:0:0:0:1 - - [16/May/2018:17:55:16 -0500] "GET /AvanceWeb/css/bootstrapValidator.css HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [16/May/2018:17:55:16 -0500] "GET /AvanceWeb/js/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [16/May/2018:17:55:16 -0500] "GET /AvanceWeb/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4216
0:0:0:0:0:0:0:1 - - [16/May/2018:17:55:16 -0500] "GET /AvanceWeb/js/dataTables.bootstrap.min.js HTTP/1.1" 200 1960
0:0:0:0:0:0:0:1 - - [16/May/2018:17:55:16 -0500] "GET /AvanceWeb/js/bootstrapValidator.js HTTP/1.1" 200 325844
0:0:0:0:0:0:0:1 - - [16/May/2018:17:55:17 -0500] "GET /AvanceWeb/cargaMarca HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [16/May/2018:17:55:26 -0500] "GET /AvanceWeb/registraComputadora.jsp HTTP/1.1" 200 4472
0:0:0:0:0:0:0:1 - - [16/May/2018:17:55:26 -0500] "GET /AvanceWeb/js/jquery.min.js HTTP/1.1" 200 293650
0:0:0:0:0:0:0:1 - - [16/May/2018:17:55:26 -0500] "GET /AvanceWeb/js/jquery.dataTables.min.js HTTP/1.1" 200 82628
0:0:0:0:0:0:0:1 - - [16/May/2018:17:55:26 -0500] "GET /AvanceWeb/js/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [16/May/2018:17:55:26 -0500] "GET /AvanceWeb/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4216
0:0:0:0:0:0:0:1 - - [16/May/2018:17:55:26 -0500] "GET /AvanceWeb/js/dataTables.bootstrap.min.js HTTP/1.1" 200 1960
0:0:0:0:0:0:0:1 - - [16/May/2018:17:55:26 -0500] "GET /AvanceWeb/css/bootstrap.css HTTP/1.1" 200 121260
0:0:0:0:0:0:0:1 - - [16/May/2018:17:55:26 -0500] "GET /AvanceWeb/js/bootstrapValidator.js HTTP/1.1" 200 325844
0:0:0:0:0:0:0:1 - - [16/May/2018:17:55:26 -0500] "GET /AvanceWeb/css/bootstrapValidator.css HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [16/May/2018:17:55:26 -0500] "GET /AvanceWeb/cargaMarca HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [16/May/2018:17:55:26 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [16/May/2018:17:56:57 -0500] "GET /AvanceWeb/registraComputadora.jsp HTTP/1.1" 200 4045
0:0:0:0:0:0:0:1 - - [16/May/2018:17:56:57 -0500] "GET /AvanceWeb/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:17:56:57 -0500] "GET /AvanceWeb/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:17:56:57 -0500] "GET /AvanceWeb/js/bootstrapValidator.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:17:56:57 -0500] "GET /AvanceWeb/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:17:56:57 -0500] "GET /AvanceWeb/js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:17:56:57 -0500] "GET /AvanceWeb/js/dataTables.bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:17:56:57 -0500] "GET /AvanceWeb/css/dataTables.bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:17:56:57 -0500] "GET /AvanceWeb/css/bootstrapValidator.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:17:56:57 -0500] "GET /AvanceWeb/cargaMarca HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [16/May/2018:17:59:20 -0500] "GET /AvanceWeb/registraComputadora.jsp HTTP/1.1" 200 4042
0:0:0:0:0:0:0:1 - - [16/May/2018:17:59:20 -0500] "GET /AvanceWeb/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:17:59:20 -0500] "GET /AvanceWeb/js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:17:59:20 -0500] "GET /AvanceWeb/js/dataTables.bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:17:59:20 -0500] "GET /AvanceWeb/js/bootstrapValidator.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:17:59:20 -0500] "GET /AvanceWeb/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:17:59:20 -0500] "GET /AvanceWeb/css/bootstrapValidator.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:17:59:20 -0500] "GET /AvanceWeb/css/dataTables.bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:17:59:20 -0500] "GET /AvanceWeb/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:17:59:20 -0500] "GET /AvanceWeb/cargaMarca HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [16/May/2018:17:59:22 -0500] "GET /AvanceWeb/registraComputadora.jsp HTTP/1.1" 200 4042
0:0:0:0:0:0:0:1 - - [16/May/2018:17:59:22 -0500] "GET /AvanceWeb/cargaMarca HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [16/May/2018:17:59:33 -0500] "GET /AvanceWeb/registraComputadora.jsp HTTP/1.1" 200 4479
0:0:0:0:0:0:0:1 - - [16/May/2018:17:59:33 -0500] "GET /AvanceWeb/cargaMarca HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [16/May/2018:18:02:00 -0500] "GET /AvanceWeb/registraComputadora.jsp HTTP/1.1" 200 4509
0:0:0:0:0:0:0:1 - - [16/May/2018:18:02:00 -0500] "GET /AvanceWeb/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:02:00 -0500] "GET /AvanceWeb/js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:02:00 -0500] "GET /AvanceWeb/js/dataTables.bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:02:00 -0500] "GET /AvanceWeb/js/bootstrapValidator.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:02:00 -0500] "GET /AvanceWeb/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:02:00 -0500] "GET /AvanceWeb/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:02:00 -0500] "GET /AvanceWeb/css/bootstrapValidator.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:02:00 -0500] "GET /AvanceWeb/css/dataTables.bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:02:01 -0500] "GET /AvanceWeb/cargaMarca HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [16/May/2018:18:02:02 -0500] "GET /AvanceWeb/registraComputadora.jsp HTTP/1.1" 200 4509
0:0:0:0:0:0:0:1 - - [16/May/2018:18:02:02 -0500] "GET /AvanceWeb/cargaMarca HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [16/May/2018:18:04:09 -0500] "GET /AvanceWeb/registraComputadora.jsp HTTP/1.1" 200 4574
0:0:0:0:0:0:0:1 - - [16/May/2018:18:04:09 -0500] "GET /AvanceWeb/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:04:09 -0500] "GET /AvanceWeb/js/bootstrapValidator.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:04:09 -0500] "GET /AvanceWeb/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:04:09 -0500] "GET /AvanceWeb/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:04:09 -0500] "GET /AvanceWeb/js/dataTables.bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:04:09 -0500] "GET /AvanceWeb/css/dataTables.bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:04:09 -0500] "GET /AvanceWeb/css/bootstrapValidator.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:04:09 -0500] "GET /AvanceWeb/js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:04:10 -0500] "GET /AvanceWeb/cargaMarca HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [16/May/2018:18:04:18 -0500] "GET /AvanceWeb/registraComputadora.jsp HTTP/1.1" 200 4574
0:0:0:0:0:0:0:1 - - [16/May/2018:18:04:18 -0500] "GET /AvanceWeb/cargaMarca HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [16/May/2018:18:04:42 -0500] "GET /AvanceWeb/registraComputadora.jsp HTTP/1.1" 200 4574
0:0:0:0:0:0:0:1 - - [16/May/2018:18:04:42 -0500] "GET /AvanceWeb/cargaMarca HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [16/May/2018:18:04:43 -0500] "GET /AvanceWeb/registraComputadora.jsp HTTP/1.1" 200 4574
0:0:0:0:0:0:0:1 - - [16/May/2018:18:04:43 -0500] "GET /AvanceWeb/cargaMarca HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [16/May/2018:18:04:43 -0500] "GET /AvanceWeb/registraComputadora.jsp HTTP/1.1" 200 4574
0:0:0:0:0:0:0:1 - - [16/May/2018:18:04:44 -0500] "GET /AvanceWeb/cargaMarca HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [16/May/2018:18:05:29 -0500] "GET /AvanceWeb/registraComputadora.jsp HTTP/1.1" 200 5099
0:0:0:0:0:0:0:1 - - [16/May/2018:18:05:29 -0500] "GET /AvanceWeb/cargaMarca HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [16/May/2018:18:06:07 -0500] "GET /AvanceWeb/registraComputadora.jsp HTTP/1.1" 200 6234
0:0:0:0:0:0:0:1 - - [16/May/2018:18:06:07 -0500] "GET /AvanceWeb/cargaMarca HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [16/May/2018:18:06:44 -0500] "GET /AvanceWeb/registraComputadora.jsp HTTP/1.1" 200 6234
0:0:0:0:0:0:0:1 - - [16/May/2018:18:06:44 -0500] "GET /AvanceWeb/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:06:44 -0500] "GET /AvanceWeb/js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:06:44 -0500] "GET /AvanceWeb/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:06:44 -0500] "GET /AvanceWeb/js/dataTables.bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:06:44 -0500] "GET /AvanceWeb/js/bootstrapValidator.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:18:06:44 -0500] "GET /AvanceWeb/css/bootstrapValidator.css HTTP/1.1" 304 -
